datetime,Close,Pos,Account,AccountCum,Openorder,Closeorder
2013/3/4,1811.0,0.0,0.0,1506.0,0,0
2013/3/5,1811.0,0.0,0.0,1506.0,0,0
2013/3/6,1811.0,0.0,0.0,1506.0,0,0
2013/3/7,1811.0,0.0,0.0,1506.0,0,0
2013/3/8,1811.0,0.0,0.0,1506.0,0,0
2013/3/11,1811.0,0.0,0.0,1506.0,0,0
2013/3/12,1811.0,0.0,0.0,1506.0,0,0
2013/3/13,1811.0,0.0,0.0,1506.0,0,0
2013/3/14,1811.0,0.0,0.0,1506.0,0,0
2013/3/15,1811.0,0.0,0.0,1506.0,0,0
2013/3/18,1811.0,0.0,0.0,1506.0,0,0
2013/3/19,1811.0,0.0,0.0,1506.0,0,0
2013/3/20,1811.0,0.0,0.0,1506.0,0,0
2013/3/21,1629.0,1.0,33.0,1539.0,"{'Vol': 1, 'Openpos': 1596.0, 'Type': 1, 'Time': '2013/3/21'}","{'Vol': 1, 'Closepos': 1629.0, 'Type': -1, 'Time': '2013/3/21'}"
2013/3/22,1629.0,0.0,0.0,1539.0,0,0
2013/3/25,1629.0,0.0,0.0,1539.0,0,0
2013/3/26,1629.0,0.0,0.0,1539.0,0,0
2013/3/27,1629.0,0.0,0.0,1539.0,0,0
2013/3/28,1548.0,1.0,-64.0,1475.0,"{'Vol': 1, 'Openpos': 1612.0, 'Type': 1, 'Time': '2013/3/28'}","{'Vol': 1, 'Closepos': 1548.0, 'Type': -1, 'Time': '2013/3/28'}"
2013/3/29,1548.0,0.0,0.0,1475.0,0,0
2013/4/1,1548.0,0.0,0.0,1475.0,0,0
2013/4/2,1548.0,0.0,0.0,1475.0,0,0
2013/4/3,1548.0,0.0,0.0,1475.0,0,0
2013/4/8,1548.0,0.0,0.0,1475.0,0,0
2013/4/9,1548.0,0.0,0.0,1475.0,0,0
2013/4/10,1548.0,0.0,0.0,1475.0,0,0
2013/4/11,1548.0,0.0,0.0,1475.0,0,0
2013/4/12,1548.0,0.0,0.0,1475.0,0,0
2013/4/15,1548.0,0.0,0.0,1475.0,0,0
2013/4/16,1548.0,0.0,0.0,1475.0,0,0
2013/4/17,1453.0,1.0,-6.0,1469.0,"{'Vol': 1, 'Openpos': 1459.0, 'Type': 1, 'Time': '2013/4/17'}","{'Vol': 1, 'Closepos': 1453.0, 'Type': -1, 'Time': '2013/4/17'}"
2013/4/18,1434.0,1.0,2.0,1471.0,"{'Vol': 1, 'Openpos': 1432.0, 'Type': 1, 'Time': '2013/4/18'}","{'Vol': 1, 'Closepos': 1434.0, 'Type': -1, 'Time': '2013/4/18'}"
2013/4/19,1440.0,-1.0,9.0,1480.0,"{'Vol': 1, 'Openpos': 1449.0, 'Type': -1, 'Time': '2013/4/19'}","{'Vol': 1, 'Closepos': 1440.0, 'Type': 1, 'Time': '2013/4/19'}"
2013/4/22,1443.0,-1.0,13.0,1493.0,"{'Vol': 1, 'Openpos': 1456.0, 'Type': -1, 'Time': '2013/4/22'}","{'Vol': 1, 'Closepos': 1443.0, 'Type': 1, 'Time': '2013/4/22'}"
2013/4/23,1421.0,0.0,0.0,1493.0,0,0
2013/4/24,1423.0,0.0,0.0,1493.0,0,0
2013/4/25,1430.0,0.0,0.0,1493.0,0,0
2013/4/26,1415.0,0.0,0.0,1493.0,0,0
2013/5/2,1401.0,1.0,0.0,1493.0,"{'Vol': 1, 'Openpos': 1401.0, 'Type': 1, 'Time': '2013/5/2'}","{'Vol': 1, 'Closepos': 1401.0, 'Type': -1, 'Time': '2013/5/2'}"
2013/5/3,1431.0,-1.0,-0.0,1493.0,"{'Vol': 1, 'Openpos': 1431.0, 'Type': -1, 'Time': '2013/5/3'}","{'Vol': 1, 'Closepos': 1431.0, 'Type': 1, 'Time': '2013/5/3'}"
2013/5/6,1431.0,0.0,0.0,1493.0,0,0
2013/5/7,1431.0,0.0,0.0,1493.0,0,0
2013/5/8,1431.0,0.0,0.0,1493.0,0,0
2013/5/9,1431.0,0.0,0.0,1493.0,0,0
2013/5/10,1431.0,0.0,0.0,1493.0,0,0
2013/5/13,1431.0,0.0,0.0,1493.0,0,0
2013/5/14,1537.0,-1.0,-0.0,1493.0,"{'Vol': 1, 'Openpos': 1537.0, 'Type': -1, 'Time': '2013/5/14'}","{'Vol': 1, 'Closepos': 1537.0, 'Type': 1, 'Time': '2013/5/14'}"
