,CLOSE
2014-01-17 00:00:00.005,2004.949
2014-01-20 00:00:00.005,1991.253
2014-01-21 00:00:00.005,2008.313
2014-01-22 00:00:00.005,2051.749
2014-01-23 00:00:00.005,2042.18
2014-01-24 00:00:00.005,2054.392
2014-01-27 00:00:00.005,2033.3
2014-01-28 00:00:00.005,2038.513
2014-01-29 00:00:00.005,2049.914
2014-01-30 00:00:00.005,2033.083
2014-02-07 00:00:00.005,2044.497
2014-02-10 00:00:00.005,2086.067
2014-02-11 00:00:00.005,2103.671
2014-02-12 00:00:00.005,2109.955
2014-02-13 00:00:00.005,2098.401
2014-02-14 00:00:00.005,2115.848
2014-02-17 00:00:00.005,2135.415
2014-02-18 00:00:00.005,2119.066
2014-02-19 00:00:00.005,2142.554
2014-02-20 00:00:00.005,2138.782
2014-02-21 00:00:00.005,2113.693
2014-02-24 00:00:00.005,2076.686
2014-02-25 00:00:00.005,2034.219
2014-02-26 00:00:00.005,2041.254
2014-02-27 00:00:00.005,2047.354
2014-02-28 00:00:00.005,2056.302
2014-03-03 00:00:00.005,2075.235
2014-03-04 00:00:00.005,2071.473
2014-03-05 00:00:00.005,2053.084
2014-03-06 00:00:00.005,2059.578
2014-03-07 00:00:00.005,2057.908
2014-03-10 00:00:00.005,1999.065
2014-03-11 00:00:00.005,2001.157
2014-03-12 00:00:00.005,1997.692
2014-03-13 00:00:00.005,2019.111
2014-03-14 00:00:00.005,2004.339
2014-03-17 00:00:00.005,2023.673
2014-03-18 00:00:00.005,2025.196
2014-03-19 00:00:00.005,2021.734
2014-03-20 00:00:00.005,1993.479
2014-03-21 00:00:00.005,2047.619
2014-03-24 00:00:00.005,2066.279
2014-03-25 00:00:00.005,2067.311
2014-03-26 00:00:00.005,2063.67
2014-03-27 00:00:00.005,2046.588
2014-03-28 00:00:00.005,2041.712
2014-03-31 00:00:00.005,2033.306
2014-04-01 00:00:00.005,2047.46
2014-04-02 00:00:00.005,2058.988
2014-04-03 00:00:00.005,2043.702
2014-04-04 00:00:00.005,2058.831
2014-04-08 00:00:00.005,2098.284
2014-04-09 00:00:00.005,2105.237
2014-04-10 00:00:00.005,2134.3
2014-04-11 00:00:00.005,2130.542
2014-04-14 00:00:00.005,2131.539
2014-04-15 00:00:00.005,2101.601
2014-04-16 00:00:00.005,2105.122
2014-04-17 00:00:00.005,2098.885
2014-04-18 00:00:00.005,2097.748
2014-04-21 00:00:00.005,2065.826
2014-04-22 00:00:00.005,2072.831
2014-04-23 00:00:00.005,2067.382
2014-04-24 00:00:00.005,2057.033
2014-04-25 00:00:00.005,2036.519
2014-04-28 00:00:00.005,2003.487
2014-04-29 00:00:00.005,2020.341
2014-04-30 00:00:00.005,2026.358
2014-05-05 00:00:00.005,2027.353
2014-05-06 00:00:00.005,2028.038
2014-05-07 00:00:00.005,2010.083
2014-05-08 00:00:00.005,2015.274
2014-05-09 00:00:00.005,2011.135
2014-05-12 00:00:00.005,2052.871
2014-05-13 00:00:00.005,2050.728
2014-05-14 00:00:00.005,2047.91
2014-05-15 00:00:00.005,2024.974
2014-05-16 00:00:00.005,2026.504
2014-05-19 00:00:00.005,2005.183
2014-05-20 00:00:00.005,2008.119
2014-05-21 00:00:00.005,2024.951
2014-05-22 00:00:00.005,2021.285
2014-05-23 00:00:00.005,2034.569
2014-05-26 00:00:00.005,2041.476
2014-05-27 00:00:00.005,2034.565
2014-05-28 00:00:00.005,2050.228
2014-05-29 00:00:00.005,2040.595
2014-05-30 00:00:00.005,2039.212
2014-06-03 00:00:00.005,2038.305
2014-06-04 00:00:00.005,2024.834
2014-06-05 00:00:00.005,2040.878
2014-06-06 00:00:00.005,2029.956
2014-06-09 00:00:00.005,2030.502
2014-06-10 00:00:00.005,2052.532
2014-06-11 00:00:00.005,2054.948
2014-06-12 00:00:00.005,2051.713
2014-06-13 00:00:00.005,2070.715
2014-06-16 00:00:00.005,2085.983
2014-06-17 00:00:00.005,2066.698
2014-06-18 00:00:00.005,2055.519
2014-06-19 00:00:00.005,2023.735
2014-06-20 00:00:00.005,2026.674
2014-06-23 00:00:00.005,2024.365
2014-06-24 00:00:00.005,2033.931
2014-06-25 00:00:00.005,2025.502
2014-06-26 00:00:00.005,2038.677
2014-06-27 00:00:00.005,2036.51
2014-06-30 00:00:00.005,2048.327
2014-07-01 00:00:00.005,2050.381
2014-07-02 00:00:00.005,2059.418
2014-07-03 00:00:00.005,2063.229
2014-07-04 00:00:00.005,2059.375
2014-07-07 00:00:00.005,2059.927
2014-07-08 00:00:00.005,2064.021
2014-07-09 00:00:00.005,2038.612
2014-07-10 00:00:00.005,2038.342
2014-07-11 00:00:00.005,2046.961
2014-07-14 00:00:00.005,2066.646
2014-07-15 00:00:00.005,2070.357
2014-07-16 00:00:00.005,2067.276
2014-07-17 00:00:00.005,2055.591
2014-07-18 00:00:00.005,2059.067
2014-07-21 00:00:00.005,2054.479
2014-07-22 00:00:00.005,2075.481
2014-07-23 00:00:00.005,2078.489
2014-07-24 00:00:00.005,2105.062
2014-07-25 00:00:00.005,2126.614
2014-07-28 00:00:00.005,2177.948
2014-07-29 00:00:00.005,2183.192
2014-07-30 00:00:00.005,2181.243
2014-07-31 00:00:00.005,2201.562
2014-08-01 00:00:00.005,2185.303
2014-08-04 00:00:00.005,2223.331
2014-08-05 00:00:00.005,2219.945
2014-08-06 00:00:00.005,2217.465
2014-08-07 00:00:00.005,2187.669
2014-08-08 00:00:00.005,2194.425
2014-08-11 00:00:00.005,2224.654
2014-08-12 00:00:00.005,2221.595
2014-08-13 00:00:00.005,2222.877
2014-08-14 00:00:00.005,2206.466
2014-08-15 00:00:00.005,2226.734
2014-08-18 00:00:00.005,2239.466
2014-08-19 00:00:00.005,2245.33
2014-08-20 00:00:00.005,2240.211
2014-08-21 00:00:00.005,2230.458
2014-08-22 00:00:00.005,2240.812
2014-08-25 00:00:00.005,2229.274
2014-08-26 00:00:00.005,2207.106
2014-08-27 00:00:00.005,2209.465
2014-08-28 00:00:00.005,2195.818
2014-08-29 00:00:00.005,2217.2
2014-09-01 00:00:00.005,2235.511
2014-09-02 00:00:00.005,2266.046
2014-09-03 00:00:00.005,2288.627
2014-09-04 00:00:00.005,2306.862
2014-09-05 00:00:00.005,2326.432
2014-09-09 00:00:00.005,2326.527
2014-09-10 00:00:00.005,2318.305
